date,open,high,low,close,volume
12/7/2010,28.0789,28.0938,27.8618,27.918,249800
12/8/2010,28.0377,28.1911,27.9292,28.0152,285600
12/9/2010,28.019,28.0489,27.8282,27.9591,210000
12/10/2010,28.1387,28.2188,27.9965,28.2098,175400
12/13/2010,28.3146,28.3632,28.1574,28.2285,207600
12/14/2010,28.135,28.452,28.0751,28.4007,264200
12/15/2010,28.12,28.3146,28.0115,28.0976,177200
12/16/2010,28.2959,28.3894,28.2285,28.352,132600
12/17/2010,28.4456,28.5129,28.352,28.4718,218200
12/20/2010,28.5915,28.7,28.4081,28.6925,175000
12/21/2010,28.7823,28.831,28.6214,28.6963,198200
12/22/2010,28.8123,28.9208,28.7823,28.9208,155000
12/23/2010,28.9432,29.1228,28.9245,28.9994,106800
12/27/2010,29.1902,29.1939,28.7262,28.8646,114400
12/28/2010,28.9919,29.1191,28.7599,28.8123,214600
12/29/2010,28.9582,29.0675,28.8609,28.9058,200200
12/30/2010,28.8983,28.9245,28.7038,28.8497,178000
12/31/2010,28.7449,29.149,28.7187,29.0742,117800
1/3/2011,29.0405,29.1752,28.7337,28.8684,153800
1/4/2011,29.2089,29.2276,28.947,29.0068,219800
1/5/2011,28.7412,28.947,28.6551,28.9357,127600
1/6/2011,28.8834,29.1864,28.6551,28.7936,354000
1/7/2011,28.3483,28.4007,28.0826,28.1387,1296200
1/10/2011,28.1761,28.3258,28.0863,28.3109,145200
1/11/2011,28.5466,28.5765,28.2706,28.3408,439600
1/12/2011,28.3333,28.5241,28.2061,28.5241,186400
1/13/2011,27.8918,27.9067,27.4577,27.4839,358200
1/14/2011,27.7009,28.12,27.6635,28.0976,239000
1/18/2011,28.3258,28.453,28.1761,28.2697,334400
1/19/2011,28.3071,28.3333,27.8529,27.9554,155600
1/20/2011,27.2893,27.5026,27.1621,27.4652,374000
1/21/2011,27.3604,27.4203,27.2818,27.4203,286000
1/24/2011,27.9741,28.5765,27.9329,28.3595,2199400
1/25/2011,27.8955,28.1013,27.799,28.1013,193000
1/26/2011,28.3109,28.4456,28.1761,28.2734,166600
1/27/2011,28.3071,28.4269,28.1836,28.3071,168800
1/28/2011,27.6336,27.7683,27.2931,27.4652,546200
1/31/2011,27.222,27.7384,27.222,27.7346,312400
2/1/2011,27.8356,28.2472,27.8244,28.1574,1189200
2/2/2011,28.4493,28.5803,28.3707,28.4942,659000
2/3/2011,28.8347,28.9732,28.7187,28.9732,1708800
2/4/2011,28.9208,28.9732,28.7524,28.8796,866800
2/7/2011,29.2613,29.5195,29.2575,29.4746,1423200
2/8/2011,29.2613,29.3997,29.1565,29.28,2420800
2/9/2011,29.0742,29.2688,29.0218,29.1715,205600
2/10/2011,28.9694,29.1303,28.7973,29.1116,255000
2/11/2011,28.7337,29.2388,28.7112,29.1827,299600
2/14/2011,29.1116,29.258,28.9545,29.0068,307800
2/15/2011,29.2575,29.3735,29.1303,29.2538,581400
2/16/2011,29.1939,29.3099,29.1041,29.2426,515200
2/17/2011,29.4259,29.7103,29.4147,29.7103,254000
2/18/2011,29.9573,30.1518,29.9273,30.0957,290800
2/22/2011,29.5157,29.8647,29.4259,29.5195,452600
2/23/2011,29.8076,29.8488,29.3921,29.5719,337000
2/24/2011,29.1341,29.3735,29.0181,29.2426,510200
2/25/2011,29.7889,30.0957,29.6691,30.0284,481400
2/28/2011,30.324,30.4399,30.1668,30.3576,584000
3/1/2011,30.3876,30.44,30.1537,30.2604,1418800
3/2/2011,30.208,30.5073,30.1444,30.1967,271000
3/3/2011,30.6645,30.788,30.6084,30.6982,284800
3/4/2011,30.6308,30.6944,30.3352,30.5859,260000
3/7/2011,30.5597,30.6233,30.1855,30.3464,484400
3/8/2011,30.3838,30.672,30.2304,30.6533,607600
3/9/2011,30.6657,30.9903,30.5872,30.886,926600
3/10/2011,30.2716,30.4184,30.1209,30.2948,558600
3/11/2011,29.9393,30.2948,29.8774,30.1363,261800
3/14/2011,29.7113,30.0281,29.7113,30.0204,392400
3/15/2011,28.865,29.4215,28.7878,29.4176,977800
3/16/2011,29.1317,29.1742,28.3936,28.5134,983800
3/17/2011,28.7684,29.2978,28.6642,29.2515,1630000
3/18/2011,29.5142,29.6757,29.3828,29.5026,710600
3/21/2011,29.7963,29.8852,29.6958,29.8659,767400
3/22/2011,29.7886,30.1093,29.7886,30.0397,653400
3/23/2011,29.7267,30.4377,29.6572,30.4377,626000
3/24/2011,30.1093,30.43,30.0359,30.3643,575600
3/25/2011,30.1982,30.3836,30.1402,30.1982,736600
3/28/2011,30.1866,30.2252,30.0397,30.1441,792000
3/29/2011,30.6966,30.7576,30.4223,30.743,762000
3/30/2011,31.1487,31.5699,31.1487,31.5661,613800
3/31/2011,31.5738,31.6859,31.284,31.2956,544400
4/1/2011,31.4965,31.852,31.3535,31.6975,690400
4/4/2011,32.0143,32.0259,31.767,31.9177,1174000
4/5/2011,32.2616,32.3814,32.1611,32.3041,396600
4/6/2011,32.3312,32.4316,32.1496,32.308,710200
4/7/2011,31.8211,31.8945,31.6549,31.7979,705000
4/8/2011,31.995,32.0259,31.7902,31.995,259800
4/11/2011,31.8018,31.8984,31.6395,31.682,504600
4/12/2011,31.8172,31.883,31.5854,31.6859,602400
4/13/2011,32.1882,32.1882,31.9332,32.1109,304000
4/14/2011,32.1611,32.4587,32.107,32.3505,253600
4/15/2011,32.563,32.6635,32.4471,32.5901,251600
4/18/2011,32.1882,32.1897,31.74,32.0684,274400
4/19/2011,32.4857,32.6403,32.3505,32.6171,425200
4/20/2011,33.1929,33.2702,32.9842,33.0615,403800
4/21/2011,33.1851,33.3977,33.046,33.1658,328200
4/25/2011,33.2817,33.4209,33.1542,33.3899,293200
4/26/2011,33.587,33.8227,33.5484,33.6759,395000
4/27/2011,33.8266,34.1589,33.7338,34.1009,405000
4/28/2011,33.6875,33.9889,33.6643,33.985,1382600
4/29/2011,34.07,34.2903,33.8884,34.0816,390000
5/2/2011,34.213,34.2787,33.985,34.0546,148000
5/3/2011,33.7995,34.2748,33.7609,33.9927,791200
5/4/2011,34.0546,34.1357,33.8536,33.9889,1096000
5/5/2011,34.2516,34.3328,33.8884,33.9232,443000
5/6/2011,34.213,34.3482,33.757,33.9232,388200
5/9/2011,33.7957,33.9889,33.6218,33.9812,192200
5/10/2011,34.2941,34.5183,34.213,34.5144,351000
5/11/2011,34.6342,34.6612,34.1705,34.3598,361600
5/12/2011,34.0237,34.383,33.9386,34.3212,234800
5/13/2011,33.9889,34.0662,33.8266,34.0005,390200
5/16/2011,33.6604,33.9116,33.6141,33.7918,366000
5/17/2011,33.6218,33.8614,33.4749,33.6913,351200
5/18/2011,33.6102,33.9077,33.5445,33.8343,452400
5/19/2011,34.2864,34.5299,34.1434,34.4758,264000
5/20/2011,34.5067,34.7602,34.3251,34.5724,244600
5/23/2011,34.1164,34.2246,33.9464,34.1396,264400
5/24/2011,34.1048,34.2787,34.0314,34.1782,1154400
5/25/2011,33.8382,34.0778,33.7995,34.0198,381000
5/26/2011,34.3251,34.7772,34.2594,34.7192,321400
5/27/2011,34.7192,34.8724,34.6656,34.8081,174600
5/31/2011,34.8699,34.9742,34.6844,34.9124,325000
6/1/2011,34.9472,35.009,34.584,34.7231,625800
